student_id,first_name,email,enrollment_date,program,enrollment_status,gpa,credits_attempted,credits_completed,failed_courses,attendance_rate,lms_logins_last_30d,assignments_submitted,assignments_total,late_submissions,advisor_meetings,financial_aid,dropped_out
STU00073,Liam,student00073@university.edu,2025-02-16 22:05:01.602601,Liberal Arts,full_time,3.66,70,67,0,100.0,33,29,32,0,6,False,False
STU00074,Ethan,student00074@university.edu,2025-04-06 22:05:01.602602,Engineering,full_time,1.79,47,28,6,60.4,0,14,27,6,2,True,True
STU00075,Joseph,student00075@university.edu,2024-08-03 22:05:01.602604,Computer Science,part_time,3.07,71,63,2,84.9,22,21,27,5,5,False,True
STU00076,Noah,student00076@university.edu,2025-11-10 22:05:01.602606,Business,full_time,3.79,71,65,1,94.7,33,30,33,1,5,True,False
STU00077,Avery,student00077@university.edu,2025-09-16 22:05:01.602607,Nursing,full_time,2.39,84,58,4,62.6,10,21,31,6,2,False,True
STU00078,Henry,student00078@university.edu,2024-04-19 22:05:01.602609,Computer Science,full_time,3.11,45,34,3,73.7,23,21,30,4,2,True,False
STU00079,Jacob,student00079@university.edu,2024-04-22 22:05:01.602613,Liberal Arts,part_time,2.76,70,62,2,81.3,23,19,25,4,4,True,False
STU00080,Carter,student00080@university.edu,2024-10-23 22:05:01.602615,Liberal Arts,full_time,3.44,71,65,1,94.8,31,30,33,0,4,True,False
STU00081,Aiden,student00081@university.edu,2025-08-22 22:05:01.602617,Business,full_time,2.63,93,72,2,82.7,22,20,27,6,3,False,True
STU00082,William,student00082@university.edu,2024-04-07 22:05:01.602618,Business,full_time,3.75,78,73,1,91.7,30,25,28,1,5,True,False
STU00083,Matthew,student00083@university.edu,2025-06-02 22:05:01.602620,Nursing,full_time,3.1,85,71,2,84.5,24,26,32,4,3,True,False
STU00084,Benjamin,student00084@university.edu,2024-08-01 22:05:01.602622,Nursing,full_time,3.42,59,53,1,92.0,29,18,20,1,4,True,False
STU00085,Ella,student00085@university.edu,2024-03-29 22:05:01.602623,Business,full_time,2.28,50,37,5,64.9,11,18,28,8,3,False,True
STU00086,Wyatt,student00086@university.edu,2024-08-09 22:05:01.602625,Business,full_time,1.9,57,38,5,68.6,0,12,21,4,2,False,True
STU00087,Amelia,student00087@university.edu,2025-10-01 22:05:01.602627,Liberal Arts,part_time,3.57,70,67,0,91.1,31,33,33,1,6,True,False
STU00088,Mason,student00088@university.edu,2024-10-28 22:05:01.602628,Business,full_time,3.08,54,43,2,82.3,25,26,32,4,4,False,False
STU00089,Benjamin,student00089@university.edu,2024-12-04 22:05:01.602630,Engineering,full_time,3.41,100,97,0,93.7,31,17,20,1,5,True,False
STU00090,Emily,student00090@university.edu,2024-10-21 22:05:01.602632,Computer Science,full_time,1.69,52,36,5,63.7,0,13,27,6,1,True,True
STU00091,David,student00091@university.edu,2025-03-13 22:05:01.602634,Business,full_time,3.22,82,75,1,89.0,30,24,27,3,5,True,False
STU00092,Abigail,student00092@university.edu,2024-02-08 22:05:01.602635,Nursing,full_time,3.21,52,46,2,89.5,26,26,30,4,4,True,False
STU00093,Lucas,student00093@university.edu,2024-11-16 22:05:01.602637,Engineering,full_time,2.92,71,57,2,78.6,18,17,23,3,4,False,True
STU00094,Camila,student00094@university.edu,2024-09-14 22:05:01.602639,Nursing,full_time,3.4,18,16,1,87.6,31,23,27,2,5,False,False
STU00095,Henry,student00095@university.edu,2025-06-06 22:05:01.602641,Engineering,full_time,3.26,42,36,0,85.9,32,22,26,2,4,True,False
STU00096,Penelope,student00096@university.edu,2024-01-26 22:05:01.602642,Business,full_time,3.11,79,62,2,76.6,24,24,32,5,3,False,True
STU00097,Lillian,student00097@university.edu,2025-09-07 22:05:01.602644,Computer Science,full_time,3.34,34,29,1,87.6,25,19,21,1,4,False,False
STU00098,Daniel,student00098@university.edu,2024-06-15 22:05:01.602646,Nursing,full_time,3.45,86,79,1,91.2,29,21,24,1,6,False,False
STU00099,Jacob,student00099@university.edu,2025-09-10 22:05:01.602647,Engineering,full_time,3.05,63,51,1,83.8,25,27,33,3,4,True,False
STU00100,Elizabeth,student00100@university.edu,2024-02-20 22:05:01.602649,Liberal Arts,full_time,3.62,67,59,1,90.2,30,24,29,0,5,False,False
STU00101,Camila,student00101@university.edu,2024-02-21 22:05:01.602651,Business,full_time,2.8,89,71,3,82.4,20,18,23,4,3,False,False
STU00102,Grace,student00102@university.edu,2025-06-08 22:05:01.602652,Computer Science,full_time,3.06,46,40,2,81.1,24,18,22,4,4,False,False
STU00103,Avery,student00103@university.edu,2025-11-08 22:05:01.602654,Business,part_time,3.67,74,67,1,99.1,28,17,20,1,4,True,False
STU00104,Amelia,student00104@university.edu,2024-12-11 22:05:01.602656,Liberal Arts,full_time,2.9,89,74,2,81.0,22,18,24,3,3,True,False
STU00105,Camila,student00105@university.edu,2024-01-20 22:05:01.602657,Computer Science,full_time,3.07,67,58,2,81.8,21,23,29,4,4,True,False
STU00106,Emma,student00106@university.edu,2024-07-08 22:05:01.602659,Liberal Arts,full_time,2.93,84,70,1,85.5,28,22,27,4,4,True,False
STU00107,Elizabeth,student00107@university.edu,2025-03-11 22:05:01.602661,Business,full_time,3.13,74,64,2,79.2,22,22,31,4,4,False,True
STU00108,Sophia,student00108@university.edu,2025-05-12 22:05:01.602663,Engineering,full_time,2.18,87,58,4,64.6,0,16,28,5,2,False,True
STU00109,Isabella,student00109@university.edu,2025-03-17 22:05:01.602664,Business,part_time,3.43,68,60,1,82.4,30,23,26,5,5,True,False
STU00110,Daniel,student00110@university.edu,2025-10-14 22:05:01.602666,Business,full_time,3.49,94,85,1,94.8,31,27,31,2,4,False,False
STU00111,Emma,student00111@university.edu,2024-04-28 22:05:01.602668,Business,part_time,3.39,90,82,1,83.0,33,27,30,0,5,True,False
STU00112,Carter,student00112@university.edu,2025-01-07 22:05:01.602670,Nursing,part_time,3.69,71,65,1,93.2,27,19,20,1,5,True,False
STU00113,Mason,student00113@university.edu,2024-11-13 22:05:01.602671,Liberal Arts,full_time,3.25,38,32,2,82.7,25,16,20,2,5,True,False
STU00114,Daniel,student00114@university.edu,2024-01-16 22:05:01.602673,Liberal Arts,full_time,2.52,39,29,3,73.6,20,22,34,4,2,True,False
STU00115,Mia,student00115@university.edu,2025-11-26 22:05:01.602674,Liberal Arts,full_time,2.47,79,55,4,65.1,15,12,20,5,3,False,False
STU00116,Layla,student00116@university.edu,2025-06-21 22:05:01.602676,Nursing,full_time,2.88,60,50,2,89.3,22,17,21,4,4,False,False
STU00117,Harper,student00117@university.edu,2024-04-12 22:05:01.602678,Engineering,part_time,3.86,25,24,1,93.1,34,18,20,0,5,True,False
STU00118,Mason,student00118@university.edu,2024-11-14 22:05:01.602680,Business,full_time,2.72,51,37,3,74.1,16,16,23,4,2,False,True
STU00119,Scarlett,student00119@university.edu,2024-09-26 22:05:01.602681,Engineering,part_time,2.85,66,55,2,85.5,20,21,29,4,3,True,False
STU00120,Scarlett,student00120@university.edu,2025-04-26 22:05:01.602683,Nursing,full_time,3.62,22,21,1,87.6,31,26,28,1,5,True,False
STU00121,Madison,student00121@university.edu,2025-09-30 22:05:01.602685,Liberal Arts,part_time,3.05,88,78,2,81.5,26,23,31,3,4,True,False
STU00122,Ava,student00122@university.edu,2025-03-25 22:05:01.602686,Business,part_time,3.31,92,86,1,93.0,25,19,23,1,5,True,False
STU00123,Joseph,student00123@university.edu,2024-09-16 22:05:01.602688,Computer Science,full_time,3.57,31,28,1,83.7,29,28,32,7,5,True,False
STU00124,Aria,student00124@university.edu,2024-11-26 22:05:01.602690,Computer Science,full_time,3.08,62,56,2,90.3,28,19,23,2,4,False,False
STU00125,Grace,student00125@university.edu,2024-05-30 22:05:01.602691,Engineering,full_time,2.02,36,26,5,62.4,1,15,26,6,2,False,True
STU00126,Logan,student00126@university.edu,2024-07-27 22:05:01.602693,Liberal Arts,part_time,2.11,30,19,5,58.7,0,18,33,9,1,True,True
STU00127,Sophia,student00127@university.edu,2024-12-13 22:05:01.602695,Computer Science,part_time,3.09,50,43,2,84.7,22,24,30,5,3,False,False
STU00128,Isabella,student00128@university.edu,2025-07-24 22:05:01.602697,Engineering,part_time,3.48,52,52,0,95.3,31,26,28,1,4,True,False
STU00129,Mason,student00129@university.edu,2025-10-07 22:05:01.602698,Nursing,full_time,3.03,69,51,3,78.5,21,21,26,2,3,True,False
STU00130,James,student00130@university.edu,2025-09-07 22:05:01.602701,Engineering,full_time,2.89,61,48,3,76.2,20,15,20,3,3,True,False
STU00131,Aiden,student00131@university.edu,2024-11-14 22:05:01.602702,Engineering,part_time,3.36,31,29,1,91.3,31,17,20,2,4,True,False
STU00132,Madison,student00132@university.edu,2025-11-20 22:05:01.602704,Engineering,full_time,2.28,51,36,4,65.7,2,12,23,5,2,False,True
STU00133,Wyatt,student00133@university.edu,2024-09-02 22:05:01.602706,Business,part_time,1.58,47,32,6,57.8,6,12,23,5,0,False,True
STU00134,Emily,student00134@university.edu,2024-08-18 22:05:01.602708,Engineering,full_time,2.79,51,42,2,79.2,23,16,20,4,4,True,False
STU00135,Daniel,student00135@university.edu,2024-05-29 22:05:01.602709,Engineering,full_time,3.66,62,59,0,98.3,35,25,25,1,6,True,False
STU00136,Victoria,student00136@university.edu,2025-07-17 22:05:01.602711,Business,full_time,3.14,83,69,1,83.1,27,24,29,4,4,True,False
STU00137,Scarlett,student00137@university.edu,2025-07-24 22:05:01.602713,Business,full_time,3.78,38,36,0,90.6,34,19,21,1,4,True,False
STU00138,Carter,student00138@university.edu,2024-05-25 22:05:01.602714,Nursing,full_time,2.63,54,45,3,76.2,21,22,30,8,3,False,False
STU00139,David,student00139@university.edu,2025-11-06 22:05:01.602716,Liberal Arts,full_time,2.77,68,55,3,72.0,19,17,24,4,3,True,True
STU00140,Michael,student00140@university.edu,2025-08-28 22:05:01.602718,Computer Science,full_time,3.64,83,78,1,91.4,35,24,27,1,5,False,False
STU00141,Sofia,student00141@university.edu,2024-01-22 22:05:01.602719,Computer Science,full_time,3.24,48,43,2,87.9,30,29,34,6,5,True,False
STU00142,Scarlett,student00142@university.edu,2025-11-03 22:05:01.602721,Engineering,full_time,3.04,43,36,2,88.4,30,19,22,3,5,True,False
STU00143,Emma,student00143@university.edu,2025-06-12 22:05:01.602723,Nursing,full_time,3.58,54,49,1,91.0,30,24,28,0,5,True,False
STU00144,Scarlett,student00144@university.edu,2024-11-12 22:05:01.602724,Engineering,part_time,2.08,55,36,6,59.6,0,13,26,6,1,False,True
STU00145,Victoria,student00145@university.edu,2025-05-06 22:05:01.602726,Computer Science,full_time,2.92,88,76,3,80.0,21,22,28,6,3,True,False
STU00146,Penelope,student00146@university.edu,2024-03-21 22:05:01.602728,Business,part_time,3.21,31,27,1,86.5,27,18,20,1,5,True,False
STU00147,Benjamin,student00147@university.edu,2025-08-04 22:05:01.602729,Liberal Arts,full_time,2.77,42,35,2,81.7,28,18,24,3,4,True,False
STU00148,Olivia,student00148@university.edu,2025-07-05 22:05:01.602731,Nursing,full_time,3.45,57,49,1,88.7,28,27,31,3,4,True,False
STU00149,Emma,student00149@university.edu,2025-05-14 22:05:01.602733,Business,full_time,3.4,45,40,2,87.2,26,28,32,3,4,False,False
STU00150,Ava,student00150@university.edu,2025-04-24 22:05:01.602734,Liberal Arts,full_time,3.2,53,45,2,86.4,27,18,22,3,3,True,False
STU00151,Jacob,student00151@university.edu,2024-02-26 22:05:01.602736,Nursing,full_time,3.09,79,59,2,82.7,22,15,23,3,3,True,False
STU00152,Benjamin,student00152@university.edu,2024-05-06 22:05:01.602738,Nursing,full_time,3.62,76,73,1,94.9,35,20,23,1,5,True,False
STU00153,Aria,student00153@university.edu,2025-12-06 22:05:01.602740,Computer Science,full_time,3.03,50,42,2,78.2,24,24,30,5,4,True,False
STU00154,Sofia,student00154@university.edu,2025-10-02 22:05:01.602741,Business,full_time,2.83,72,56,3,77.3,17,23,31,5,3,True,True
STU00155,Isabella,student00155@university.edu,2024-08-10 22:05:01.602743,Nursing,full_time,1.73,68,43,6,56.3,1,14,26,7,1,False,True
STU00156,Amelia,student00156@university.edu,2025-04-06 22:05:01.602745,Nursing,full_time,3.12,62,55,1,92.5,27,24,29,3,5,True,False
STU00157,Amelia,student00157@university.edu,2025-04-29 22:05:01.602746,Liberal Arts,full_time,3.03,47,39,2,81.2,20,23,30,5,3,False,False
STU00158,Jacob,student00158@university.edu,2024-07-14 22:05:01.602748,Computer Science,full_time,2.74,70,50,4,71.9,19,19,27,6,2,True,True
STU00159,Joseph,student00159@university.edu,2025-06-24 22:05:01.602750,Engineering,full_time,3.1,47,42,1,89.2,30,25,30,2,5,False,False
STU00160,Charlotte,student00160@university.edu,2024-03-02 22:05:01.602752,Computer Science,full_time,3.04,53,43,1,86.5,24,24,29,5,3,False,False
STU00161,Layla,student00161@university.edu,2025-06-30 22:05:01.602753,Engineering,full_time,3.12,37,32,1,80.2,28,20,24,5,4,True,False
STU00162,Sebastian,student00162@university.edu,2025-06-28 22:05:01.602755,Business,part_time,2.37,63,48,3,73.5,2,20,32,7,3,False,True
STU00163,Aria,student00163@university.edu,2024-11-17 22:05:01.602757,Business,part_time,3.14,38,30,2,81.8,24,25,32,5,4,True,False
STU00164,Riley,student00164@university.edu,2024-03-21 22:05:01.602758,Nursing,full_time,3.68,48,46,0,99.6,32,29,31,1,5,True,False
STU00165,Jack,student00165@university.edu,2025-06-04 22:05:01.602760,Business,full_time,3.35,76,68,2,84.9,26,25,29,5,4,True,False
STU00166,Sebastian,student00166@university.edu,2024-07-16 22:05:01.602762,Nursing,full_time,2.43,76,53,3,73.2,16,16,26,4,4,True,True
STU00167,Noah,student00167@university.edu,2025-11-16 22:05:01.602763,Computer Science,full_time,3.5,45,43,0,95.1,30,20,22,1,6,True,False
STU00168,Jackson,student00168@university.edu,2025-07-03 22:05:01.602765,Business,full_time,3.21,78,65,1,94.7,33,20,22,1,4,True,False
STU00169,Victoria,student00169@university.edu,2024-10-19 22:05:01.602767,Computer Science,full_time,3.56,72,69,1,91.0,32,20,22,1,5,True,False
STU00170,Emily,student00170@university.edu,2025-01-10 22:05:01.602768,Computer Science,full_time,2.87,75,64,2,85.2,27,23,31,5,4,False,False
STU00171,Aria,student00171@university.edu,2024-03-07 22:05:01.602770,Business,full_time,3.42,64,58,1,87.0,29,21,23,1,5,True,False
STU00172,Camila,student00172@university.edu,2024-08-06 22:05:01.602772,Computer Science,full_time,2.7,69,57,2,77.3,19,19,25,4,3,False,False
STU00173,Amelia,student00173@university.edu,2024-12-15 22:05:01.602774,Business,full_time,3.47,23,22,1,88.3,33,31,34,0,5,False,True
STU00174,Chloe,student00174@university.edu,2025-01-07 22:05:01.602775,Business,full_time,3.12,48,43,1,84.8,26,20,24,2,4,False,False
STU00175,Avery,student00175@university.edu,2024-08-02 22:05:01.602777,Business,full_time,3.17,63,58,1,84.6,28,21,27,3,4,False,False
STU00176,Matthew,student00176@university.edu,2024-02-27 22:05:01.602779,Engineering,full_time,3.53,64,54,1,90.9,31,29,33,2,4,False,False
STU00177,Charlotte,student00177@university.edu,2024-07-22 22:05:01.602780,Computer Science,full_time,3.19,81,69,2,81.6,24,27,33,3,4,True,False
STU00178,Sebastian,student00178@university.edu,2025-01-22 22:05:01.602782,Liberal Arts,full_time,3.23,36,29,2,81.8,26,23,31,7,3,True,False
STU00179,Sophia,student00179@university.edu,2025-05-12 22:05:01.602784,Business,full_time,1.65,63,35,6,53.4,5,16,32,9,0,False,True
STU00180,Layla,student00180@university.edu,2025-02-17 22:05:01.602786,Computer Science,full_time,3.46,45,38,1,93.4,27,22,24,2,5,True,False
STU00181,Michael,student00181@university.edu,2025-08-05 22:05:01.602788,Nursing,part_time,3.62,39,36,1,90.8,30,25,30,4,5,False,False
STU00182,Logan,student00182@university.edu,2025-10-06 22:05:01.602789,Business,full_time,2.47,81,65,3,76.2,20,22,31,6,3,False,False
STU00183,Liam,student00183@university.edu,2025-04-07 22:05:01.602791,Business,part_time,3.47,57,53,1,87.0,34,20,24,3,5,False,False
STU00184,Joseph,student00184@university.edu,2024-10-26 22:05:01.602792,Liberal Arts,full_time,2.96,47,38,3,80.2,18,24,33,8,4,True,False
STU00185,Camila,student00185@university.edu,2024-09-26 22:05:01.602794,Engineering,full_time,3.48,67,61,1,97.8,31,27,29,0,4,True,False
STU00186,Lillian,student00186@university.edu,2025-06-16 22:05:01.602796,Engineering,full_time,3.73,76,73,0,92.3,29,18,21,1,5,False,False
STU00187,Ethan,student00187@university.edu,2025-07-01 22:05:01.602797,Business,full_time,2.21,64,43,5,57.5,8,17,31,10,0,False,True
STU00188,Logan,student00188@university.edu,2025-09-15 22:05:01.602799,Computer Science,full_time,2.5,70,50,4,64.1,15,20,30,6,2,False,True
STU00189,Logan,student00189@university.edu,2024-07-02 22:05:01.602800,Nursing,full_time,3.44,49,44,2,86.2,27,26,30,1,4,True,False
STU00190,Carter,student00190@university.edu,2025-11-06 22:05:01.602802,Nursing,part_time,3.32,38,34,1,85.1,31,22,24,0,5,True,False
STU00191,Carter,student00191@university.edu,2025-08-11 22:05:01.602804,Computer Science,part_time,3.6,31,29,1,87.9,29,29,34,4,4,True,False
STU00192,Alexander,student00192@university.edu,2024-09-20 22:05:01.602805,Business,full_time,2.79,44,34,2,81.5,25,24,31,5,3,True,False
